ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2013.11.11,1.58,3.448,-1.288,69,9,APPLE INC
AAPL,MM,2013.11.12,0.794,2.798,-2.21,68,5,APPLE INC
AAPL,MM,2013.11.13,0.289,2.471,-2.893,83,8,APPLE INC
AAPL,MM,2013.11.14,0.554,2.897,-2.789,74,8,APPLE INC
AAPL,MM,2013.11.15,0.4,2.639,-2.839,80,9,APPLE INC
AAPL,MM,2013.11.16,-1.333,1.366,-3.033,12,6,APPLE INC
AAPL,MM,2013.11.17,1.167,2.234,0.099,6,5,APPLE INC
AAPL,MM,2013.11.18,0.513,2.287,-2.262,80,10,APPLE INC
AAPL,MM,2013.11.19,0.449,2.675,-2.778,107,10,APPLE INC
AAPL,MM,2013.11.20,0.424,2.622,-2.774,92,8,APPLE INC
AAPL,MM,2013.11.21,0.32,2.128,-2.488,97,9,APPLE INC
AAPL,MM,2013.11.22,0.5,2.511,-2.511,68,6,APPLE INC
AAPL,MM,2013.11.23,0.909,2.93,-2.111,11,4,APPLE INC
AAPL,MM,2013.11.24,1.667,3.415,-1.081,12,4,APPLE INC
AAPL,MM,2013.11.25,0.855,2.635,-1.925,69,8,APPLE INC
AAPL,MM,2013.11.26,0.051,2.338,-3.235,78,7,APPLE INC
AAPL,MM,2013.11.27,1.322,3.359,-1.715,59,6,APPLE INC
AAPL,MM,2013.11.28,-1.276,1.362,-2.914,29,2,APPLE INC
AAPL,MM,2013.11.29,1.263,3.436,-1.909,57,7,APPLE INC
AAPL,MM,2013.11.30,1.75,4.135,-1.635,4,4,APPLE INC
AAPL,MM,2013.12.1,0.571,2.953,-2.81,7,3,APPLE INC
AAPL,MM,2013.12.2,1.022,3.049,-2.005,46,7,APPLE INC
AAPL,MM,2013.12.3,0.526,2.605,-2.552,114,10,APPLE INC
AAPL,MM,2013.12.4,1.725,3.788,-1.339,69,6,APPLE INC
AAPL,MM,2013.12.5,0.75,2.967,-2.467,124,10,APPLE INC
AAPL,MM,2013.12.6,1.129,3.601,-2.343,62,5,APPLE INC
AAPL,MM,2013.12.7,0.583,2.855,-2.688,24,4,APPLE INC
AAPL,MM,2013.12.8,-1.6,0.6,-2.8,5,4,APPLE INC
AAPL,MM,2013.12.9,1.058,3.628,-2.512,69,7,APPLE INC
AAPL,MM,2013.12.10,0.61,3.101,-2.881,59,4,APPLE INC
AAPL,MM,2013.12.11,0.85,2.202,-1.502,20,1,APPLE INC
AAPL,MM,2013.12.12,0.705,3.026,-2.615,129,10,APPLE INC
AAPL,MM,2013.12.13,0.435,2.365,-2.495,46,3,APPLE INC
AAPL,MM,2013.12.14,-1.286,1.292,-2.864,7,2,APPLE INC
AAPL,MM,2013.12.15,1,2.512,-1.512,7,2,APPLE INC
AAPL,MM,2013.12.16,1.058,3.1,-1.984,52,5,APPLE INC
AAPL,MM,2013.12.17,0.8,2.912,-2.312,40,3,APPLE INC
AAPL,MM,2013.12.18,1.18,3.155,-1.795,89,6,APPLE INC
AAPL,MM,2013.12.19,1.469,3.333,-1.394,49,3,APPLE INC
